"word","in documents","total"
"amerike",1.0,7.0
"amerike_balkan",1.0,2.0
"amerike_dokumentarne",1.0,1.0
"amerike_i",1.0,2.0
"amerike_referendum",1.0,1.0
"amerike_se",1.0,1.0
"ameriku",1.0,2.0
"ameriku_dokumentarne",1.0,1.0
"ameriku_na",1.0,1.0
"ameri?ka",1.0,1.0
"ameri?ka_ambasada",1.0,1.0
"ameri?ke",1.0,1.0
"ameri?ke_marionete",1.0,1.0
"ameri?ki",1.0,2.0
"ameri?ki_avion",1.0,1.0
"ameri?ki_projekat",1.0,1.0
"analiticar",1.0,2.0
"analiticar_aleksandar",1.0,2.0
"analiti?ar",1.0,1.0
"analiti?ar_????????",1.0,1.0
"analiti?ari",1.0,1.0
"analiti?ari_i",1.0,1.0
"and_metohija",1.0,1.0
"andjus",1.0,19.0
"andjus_balkan",1.0,1.0
"andjus_bard",1.0,4.0
"andjus_intervju",1.0,1.0
"andjus_iznuda",1.0,1.0
"andjus_kcn",1.0,1.0
"andjus_milan",1.0,4.0
"andjus_milovan",1.0,2.0
"andjus_najnovije",1.0,1.0
"andjus_o",1.0,1.0
"andjus_uhapsen",1.0,1.0
"andjus_vucic",1.0,1.0
"andjus_?????",1.0,1.0
"andrej",1.0,25.0
"andrej_fajgelj",1.0,25.0
"andric",1.0,1.0
"andric_neprijatelj",1.0,1.0
"andrija",1.0,4.0
"andrija_mandic",1.0,1.0
"andrija_mandi?",1.0,3.0
"andrijano",1.0,2.0
"andrijano_kadovic",1.0,1.0
"andrijano_kadovi?",1.0,1.0
"anicic",1.0,7.0
"anicic_djordje",1.0,1.0
"anicic_f",1.0,1.0
"anicic_intervju",1.0,1.0
"anicic_najnovije",1.0,1.0
"anicic_nevidljivi",1.0,1.0
"anicic_potpukovnik",1.0,1.0
"anicic_?????",1.0,1.0
"ani?i?",1.0,2.0
"ani?i?_djordje",1.0,1.0
"ani?i?_pokazali",1.0,1.0
"antic",1.0,5.0
"antic_cedomir",1.0,1.0
"antic_intervju",1.0,1.0
"antic_istoricar",1.0,1.0
"antic_najnovije",1.0,1.0
"antic_????",1.0,1.0
"anti?",1.0,3.0
"anti?_ceda",1.0,1.0
"anti?_srbima",1.0,1.0
"anti?_???????",1.0,1.0
"antonic",1.0,6.0
"antonic_intervju",1.0,2.0
"antonic_najnovije",1.0,1.0
"antonic_o",1.0,1.0
"antonic_vucic",1.0,1.0
"antonic_????????",1.0,1.0
"antonije",1.0,20.0
"antonije_antonije",1.0,2.0
"antonije_bog",1.0,1.0
"antonije_davidovic",1.0,4.0
"antonije_davidovi?",1.0,4.0
"antonije_intervju",1.0,4.0
"antonije_masoni",1.0,1.0
"antonije_monah",1.0,2.0
"antonije_najnovije",1.0,2.0
"antoni?",1.0,3.0
"antoni?_intervju",1.0,1.0
"antoni?_vu?i?",1.0,1.0
"antoni?_????????",1.0,1.0
"an?us",1.0,2.0
"an?us_dejan",1.0,1.0
"an?us_vu?i?",1.0,1.0
"apokalipse",1.0,1.0
"apokalipse_uništava",1.0,1.0
"arapi",1.0,5.0
"arapi_ce",1.0,2.0
"arapi_dejan",1.0,2.0
"arapi_?e",1.0,1.0
"argentina",1.0,1.0
"argentina_peru",1.0,1.0
"arhive",1.0,1.0
"arhive_vatikana",1.0,1.0
"arkan",1.0,21.0
"arkan_bozidar",1.0,6.0
"arkan_djordje",1.0,1.0
"arkan_dusan",1.0,1.0
"arkan_giška",1.0,1.0
"arkan_i",1.0,4.0
"arkan_kristijan",1.0,1.0
"arkan_legija",1.0,3.0
"arkan_milorad",1.0,2.0
"arkan_su",1.0,1.0
"arkan_toma",1.0,1.0
"arkana",1.0,1.0
"arkana_jer",1.0,1.0
"arsenije",1.0,9.0
"arsenije_arsenije",1.0,1.0
"arsenije_bog",1.0,1.0
"arsenije_intervju",1.0,1.0
"arsenije_jovanovic",1.0,1.0
"arsenije_jovanovi?",1.0,1.0
"arsenije_najnovije",1.0,1.0
"arsenije_predavanja",1.0,1.0
"arsenije_religija",1.0,1.0
"arsenije_samo",1.0,1.0
"artist",1.0,5.0
"artist_jelena",1.0,5.0
"asanin",1.0,1.0
"asanin_brano",1.0,1.0
"asfalta",1.0,1.0
"asfalta_i",1.0,1.0
"asfaltu",1.0,2.0
"asfaltu_i",1.0,1.0
"asfaltu_intervju",1.0,1.0
"astrolog",1.0,1.0
"astrolog_???????",1.0,1.0
