"word","in documents","total"
"evropi_preti",1.0,1.0
"evropom",1.0,1.0
"evropom_dokumentarne",1.0,1.0
"evropska",1.0,16.0
"evropska_civilizacija",1.0,6.0
"evropska_unija",1.0,10.0
"evropske",1.0,2.0
"evropske_politike",1.0,1.0
"evropske_unije",1.0,1.0
"evropskim",1.0,1.0
"evropskim_podzemljem",1.0,1.0
"evropskog",1.0,1.0
"evropskog_podzemlja",1.0,1.0
"evropsku",1.0,1.0
"evropsku_uniju",1.0,1.0
"evropu",1.0,2.0
"evropu_balkan",1.0,1.0
"evropu_?ekaju",1.0,1.0
"facto",1.0,1.0
"facto_priznao",1.0,1.0
"fajgelj",1.0,29.0
"fajgelj_aleksandar",1.0,1.0
"fajgelj_andrej",1.0,2.0
"fajgelj_balkan",1.0,3.0
"fajgelj_intervju",1.0,4.0
"fajgelj_miroslav",1.0,1.0
"fajgelj_najnovije",1.0,3.0
"fajgelj_o",1.0,3.0
"fajgelj_pozivam",1.0,1.0
"fajgelj_ubice",1.0,2.0
"fajgelj_vucic",1.0,5.0
"fajgelj_vu?i?",1.0,1.0
"fajgelj_??????",1.0,3.0
"fajront",1.0,2.0
"fajront_republika",1.0,1.0
"fajront_u",1.0,1.0
"falsifikata",1.0,1.0
"falsifikata_balkan",1.0,1.0
"falsifikovanu",1.0,1.0
"falsifikovanu_i",1.0,1.0
"falsifikuje",1.0,1.0
"falsifikuje_i",1.0,1.0
"falsifikuju",1.0,2.0
"falsifikuju_celu",1.0,2.0
"familia",1.0,1.0
"familia_thcf",1.0,1.0
"fantomke",1.0,1.0
"fantomke_ne",1.0,1.0
"farma",1.0,2.0
"farma_intervju",1.0,2.0
"farmaceutska",1.0,1.0
"farmaceutska_mafija",1.0,1.0
"favorizuje",1.0,1.0
"favorizuje_žene",1.0,1.0
"fašisti?ka",1.0,1.0
"fašisti?ka_tvorevina",1.0,1.0
"fdu_nebojsa",1.0,1.0
"federativna",1.0,1.0
"federativna_republika",1.0,1.0
"fedja",1.0,2.0
"fedja_dimovic",1.0,2.0
"feminizam",1.0,3.0
"feminizam_favorizuje",1.0,1.0
"feminizam_mit",1.0,1.0
"feminizam_vladislav",1.0,1.0
"fe?a",1.0,4.0
"fe?a_dimovi?",1.0,4.0
"fila",1.0,12.0
"fila_advokat",1.0,1.0
"fila_arkan",1.0,1.0
"fila_djindjic",1.0,1.0
"fila_goli",1.0,1.0
"fila_intervju",1.0,1.0
"fila_jovanka",1.0,1.0
"fila_lausevic",1.0,1.0
"fila_najnovije",1.0,1.0
"fila_slobodan",1.0,1.0
"fila_zavrsna",1.0,1.0
"fila_?in?i?",1.0,1.0
"fila_????",1.0,1.0
"filip",1.0,3.0
"filip_svarm",1.0,1.0
"filip_švarm",1.0,2.0
"film",1.0,1.0
"film_balkan",1.0,1.0
"finansijskog",1.0,1.0
"finansijskog_sistema",1.0,1.0
"finansiraju",1.0,1.0
"finansiraju_svoje",1.0,1.0
"fitnes",1.0,2.0
"fitnes_marko",1.0,2.0
"fitness",1.0,2.0
"fitness_instruktor",1.0,1.0
"fitness_marko",1.0,1.0
"fluor",1.0,1.0
"fluor_je",1.0,1.0
"fond",1.0,7.0
"fond_strateske",1.0,7.0
"fondova",1.0,1.0
"fondova_balkan",1.0,1.0
"formacije",1.0,1.0
"formacije_balkan",1.0,1.0
"francuskoj",1.0,1.0
"francuskoj_balkan",1.0,1.0
"front",1.0,9.0
"front_andrija",1.0,1.0
"front_intervju",1.0,2.0
"front_nebojsa",1.0,2.0
"front_protiv",1.0,2.0
"front_srpski",1.0,1.0
"front_??????",1.0,1.0
"fronta",1.0,1.0
"fronta_u",1.0,1.0
"fudbal",1.0,5.0
"fudbal_i",1.0,1.0
"fudbal_milan",1.0,4.0
"fudbalere",1.0,1.0
"fudbalere_li?no",1.0,1.0
"fudbaleri",1.0,2.0
"fudbaleri_moraju",1.0,1.0
"fudbaleri_ne",1.0,1.0
"fukru",1.0,1.0
"fukru_juice",1.0,1.0
"funkcioniše",1.0,1.0
"funkcioniše_kao",1.0,1.0
"ga_srbi",1.0,1.0
"ga_u",1.0,1.0
"ga_vratiti",1.0,1.0
"ga_?eka",1.0,1.0
"gajic",1.0,1.0
"gajic_??????",1.0,1.0
"gaji?",1.0,1.0
"gaji?_ljubisa",1.0,1.0
"galaksija",1.0,1.0
"galaksija_???????",1.0,1.0
"galijasevic",1.0,1.0
"galijasevic_intervju",1.0,1.0
"galijaševi?",1.0,2.0
"galijaševi?_dzevad",1.0,1.0
"galijaševi?_muslimani",1.0,1.0
"garda",1.0,1.0
"garda_djordje",1.0,1.0
"gee_intervju",1.0,1.0
"gejevi",1.0,1.0
"gejevi_uništavaju",1.0,1.0
"generacija",1.0,1.0
"generacija_je",1.0,1.0
"generacije",1.0,1.0
"generacije_balkan",1.0,1.0
"general",1.0,21.0
"general_blagoje",1.0,1.0
"general_bozidar",1.0,2.0
"general_božidar",1.0,3.0
"general_draza",1.0,3.0
"general_milos",1.0,5.0
"general_miloš",1.0,2.0
"general_sreto",1.0,3.0
"general_vinko",1.0,2.0
"generalstaba",1.0,2.0
"generalstaba_nikola",1.0,2.0
"genetika",1.0,2.0
"genetika_jovica",1.0,1.0
"genetika_potpuno",1.0,1.0
"genocid",1.0,5.0
"genocid_aleksandar",1.0,1.0
"genocid_bosko",1.0,2.0
"genocid_nad",1.0,1.0
"genocid_u",1.0,1.0
"genocida",1.0,1.0
"genocida_i",1.0,1.0
"geopolitika",1.0,19.0
"geopolitika_aleksandar",1.0,1.0
"geopolitika_dragan",1.0,10.0
"geopolitika_intervju",1.0,1.0
"geopolitika_milan",1.0,3.0
"geopolitika_na",1.0,1.0
"geopolitika_srdja",1.0,1.0
"geopolitika_zoran",1.0,2.0
"georgiev",1.0,11.0
"georgiev_intervju",1.0,1.0
"georgiev_moramo",1.0,1.0
"georgiev_najnovije",1.0,1.0
"georgiev_o",1.0,3.0
"georgiev_official",1.0,1.0
"georgiev_pevac",1.0,1.0
"georgiev_tesa",1.0,1.0
"georgiev_vlado",1.0,1.0
"georgiev_?????",1.0,1.0
"giska",1.0,10.0
"giska_darko",1.0,1.0
"giska_djordje",1.0,2.0
"giska_intervju",1.0,2.0
"giska_srpska",1.0,1.0
"giska_zeljko",1.0,3.0
"giska_?or?e",1.0,1.0
"giška",1.0,5.0
"giška_giska",1.0,1.0
"giška_i",1.0,1.0
"giška_intervju",1.0,1.0
"giška_je",1.0,1.0
"giška_su",1.0,1.0
"glamocanin",1.0,1.0
"glamocanin_intervju",1.0,1.0
"glamo?anin",1.0,2.0
"glamo?anin_milan",1.0,1.0
"glamo?anin_tajne",1.0,1.0
"glas",1.0,3.0
"glas_gusala",1.0,2.0
"glas_vu?i?u",1.0,1.0
"glasa",1.0,1.0
"glasa_za",1.0,1.0
"glasovi",1.0,1.0
"glasovi_iz",1.0,1.0
"glave",1.0,1.0
"glave_balkan",1.0,1.0
"glisic",1.0,1.0
"glisic_vladan",1.0,1.0
"gliši?",1.0,2.0
"gliši?_cilj",1.0,1.0
"gliši?_??????",1.0,1.0
"globalisti?ko",1.0,1.0
"globalisti?ko_carstvo",1.0,1.0
"globalizam",1.0,3.0
"globalizam_aleksandar",1.0,1.0
"globalizam_medijska",1.0,2.0
"globalno",1.0,2.0
"globalno_boris",1.0,1.0
"globalno_damir",1.0,1.0
"glumac",1.0,1.0
"glumac_nikola",1.0,1.0
"glumi",1.0,2.0
"glumi_ludilo",1.0,1.0
"glumi_vladara",1.0,1.0
"gluve",1.0,1.0
"gluve_sobe",1.0,1.0
"gmizavac",1.0,3.0
"gmizavac_andrej",1.0,1.0
"gmizavac_intervju",1.0,1.0
"gmizavac_vucic",1.0,1.0
"gmo_hrana",1.0,2.0
"gmo_lobi",1.0,1.0
"gmo_semena",1.0,1.0
"godina",1.0,3.0
"godina_balkan",1.0,2.0
"godina_mature",1.0,1.0
"godine",1.0,1.0
"godine_balkan",1.0,1.0
"gojko",1.0,6.0
"gojko_raicevic",1.0,4.0
"gojko_rai?evi?",1.0,2.0
"goli",1.0,37.0
"goli_zivot",1.0,37.0
"golubovic",1.0,5.0
"golubovic_intervju",1.0,1.0
"golubovic_kristijan",1.0,2.0
"golubovic_mediji",1.0,1.0
"golubovic_stanija",1.0,1.0
"golubovi?",1.0,5.0
"golubovi?_kristijan",1.0,1.0
"golubovi?_mediji",1.0,1.0
"golubovi?_poslednji",1.0,1.0
"golubovi?_?????????",1.0,2.0
"gora",1.0,6.0
"gora_aleksa",1.0,1.0
"gora_demokrate",1.0,1.0
"gora_intervju",1.0,2.0
"gora_novica",1.0,1.0
"gora_ravnogorski",1.0,1.0
"gorama",1.0,1.0
"gorama_partizani",1.0,1.0
"goran",1.0,57.0
"goran_igic",1.0,8.0
"goran_igi?",1.0,2.0
"goran_jeftovic",1.0,1.0
"goran_jevtovic",1.0,32.0
"goran_jevtovi?",1.0,8.0
"goran_miletic",1.0,1.0
"goran_mileti?",1.0,2.0
"goran_saric",1.0,1.0
"goran_šari?",1.0,2.0
"gore",1.0,1.0
"gore_je",1.0,1.0
"gori",1.0,3.0
"gori_balkan",1.0,2.0
"gori_od",1.0,1.0
"goru",1.0,3.0
"goru_milo",1.0,1.0
"goru_u",1.0,1.0
"goru_?e",1.0,1.0
"gostovanje",1.0,1.0
"gostovanje_kresimir",1.0,1.0
"gotovo",1.0,1.0
"gotovo_balkan",1.0,1.0
"govor",1.0,2.0
"govor_nikola",1.0,2.0
"govore",1.0,1.0
"govore_srpskim",1.0,1.0
"grad",1.0,3.0
"grad_jovan",1.0,3.0
"gradjana",1.0,2.0
"gradjana_saša",1.0,1.0
"gradjana_????",1.0,1.0
"gradjanski",1.0,1.0
"gradjanski_rat",1.0,1.0
"gradonacelnik",1.0,1.0
"gradonacelnik_beograda",1.0,1.0
"gradona?elnik",1.0,1.0
"gradona?elnik_beograda",1.0,1.0
"gradona?elnika",1.0,1.0
"gradona?elnika_balkan",1.0,1.0
"grahovac",1.0,6.0
"grahovac_general",1.0,1.0
"grahovac_glasovi",1.0,1.0
"grahovac_intervju",1.0,1.0
"grahovac_najnovije",1.0,1.0
"grahovac_srbija",1.0,1.0
"grahovac_???????",1.0,1.0
"granice",1.0,2.0
"granice_balkan",1.0,1.0
"granice_dzihadisti",1.0,1.0
"gra?ana",1.0,3.0
"gra?ana_balkan",1.0,1.0
"gra?ana_sasa",1.0,1.0
"gra?ana_??????",1.0,1.0
"gra?ane",1.0,1.0
"gra?ane_balkan",1.0,1.0
"gra?anska",1.0,2.0
"gra?anska_neposlušnost",1.0,2.0
"gra?anski",1.0,3.0
"gra?anski_rat",1.0,3.0
"gra?anskih",1.0,1.0
"gra?anskih_ratova",1.0,1.0
"gra?anskog",1.0,1.0
"gra?anskog_rata",1.0,1.0
"greškama",1.0,1.0
"greškama_i",1.0,1.0
"grigorije",1.0,1.0
"grigorije_pajkic",1.0,1.0
"grobari",1.0,3.0
"grobari_alkatraz",1.0,1.0
"grobari_grobari",1.0,1.0
"grobari_jug",1.0,1.0
"grof",1.0,3.0
"grof_država",1.0,1.0
"grof_intervju",1.0,1.0
"grof_radomir",1.0,1.0
"grujicic",1.0,7.0
"grujicic_bombardovanje",1.0,1.0
"grujicic_danica",1.0,3.0
"grujicic_intervju",1.0,1.0
"grujicic_najnovije",1.0,1.0
"grujicic_????",1.0,1.0
"gruji?i?",1.0,2.0
"gruji?i?_sve",1.0,1.0
"gruji?i?_??????",1.0,1.0
"grupa",1.0,4.0
"grupa_intervju",1.0,4.0
"gubarev",1.0,9.0
"gubarev_balkan",1.0,1.0
"gubarev_dnr",1.0,1.0
"gubarev_donjeck",1.0,1.0
"gubarev_donjecka",1.0,1.0
"gubarev_intervju",1.0,1.0
"gubarev_najnovije",1.0,1.0
"gubarev_rusi",1.0,1.0
"gubarev_tesa",1.0,1.0
"gubarev_?????",1.0,1.0
"gubi",1.0,1.0
"gubi_nadu",1.0,1.0
"gubimo",1.0,1.0
"gubimo_dostojanstvo",1.0,1.0
"gubitak",1.0,1.0
"gubitak_kosova",1.0,1.0
"gubitnici",1.0,1.0
"gubitnici_balkan",1.0,1.0
"gusala",1.0,2.0
"gusala_miroljub",1.0,2.0
"guslar",1.0,7.0
"guslar_gusle",1.0,2.0
"guslar_intervju",1.0,1.0
"guslar_vukojica",1.0,4.0
"gusle",1.0,10.0
"gusle_guslar",1.0,2.0
"gusle_gusle",1.0,2.0
"gusle_i",1.0,3.0
"gusle_moramo",1.0,1.0
"gusle_vukojica",1.0,2.0
"gutovic",1.0,16.0
"gutovic_brnabic",1.0,2.0
"gutovic_intervju",1.0,2.0
"gutovic_lane",1.0,2.0
"gutovic_milan",1.0,2.0
"gutovic_najnovije",1.0,2.0
"gutovic_o",1.0,2.0
"gutovic_vucic",1.0,2.0
"gutovic_?????",1.0,2.0
"gutovi?",1.0,8.0
"gutovi?_milan",1.0,4.0
"gutovi?_vu?i?",1.0,2.0
"gutovi?_????",1.0,2.0
"hag_balkan",1.0,1.0
"hag_je",1.0,1.0
"hagu",1.0,2.0
"hagu_balkan",1.0,2.0
"haos",1.0,1.0
"haos_na",1.0,1.0
"hapsi",1.0,1.0
"hapsi_srpske",1.0,1.0
"hapšenje",1.0,1.0
"hapšenje_i",1.0,1.0
"hapšenjem",1.0,1.0
"hapšenjem_samo",1.0,1.0
"haradinaj",1.0,1.0
"haradinaj_je",1.0,1.0
"haradinaju",1.0,1.0
"haradinaju_balkan",1.0,1.0
"hasim",1.0,2.0
"hasim_taci",1.0,2.0
"hašim",1.0,1.0
"hašim_ta?i",1.0,1.0
"hej_sloveni",1.0,1.0
"hemije",1.0,1.0
"hemije_nekada",1.0,1.0
"heroj",1.0,3.0
"heroj_i",1.0,1.0
"heroj_milenko",1.0,2.0
"heroje",1.0,1.0
"heroje_iz",1.0,1.0
"heroji",1.0,2.0
"heroji_sa",1.0,2.0
"herojsku",1.0,1.0
"herojsku_borbu",1.0,1.0
"hfz_abdurrahman",1.0,1.0
"hiljadama",1.0,1.0
"hiljadama_godina",1.0,1.0
"hiljade",1.0,4.0
"hiljade_i",1.0,2.0
"hiljade_sklekova",1.0,2.0
"hip_hop",1.0,1.0
"hirurg",1.0,1.0
"hirurg_borko",1.0,1.0
"hit_balkan",1.0,1.0
"hleb",1.0,3.0
"hleb_i",1.0,3.0
"hobotnice",1.0,1.0
"hobotnice_balkan",1.0,1.0
"hodza",1.0,1.0
"hodza_kaplan",1.0,1.0
"holivud",1.0,1.0
"holivud_roberto",1.0,1.0
"holivudski",1.0,1.0
"holivudski_film",1.0,1.0
"homoseksualac",1.0,2.0
"homoseksualac_djordje",1.0,1.0
"homoseksualac_vucic",1.0,1.0
"homoseksualci",1.0,1.0
"homoseksualci_su",1.0,1.0
"hop_reper",1.0,1.0
"horepiskop",1.0,1.0
"horepiskop_maksim",1.0,1.0
"horoskop",1.0,1.0
"horoskop_????????",1.0,1.0
"hosein",1.0,2.0
"hosein_veliki",1.0,2.0
"ho?e",1.0,1.0
"ho?e_da",1.0,1.0
"hrabri",1.0,1.0
"hrabri_ratnici",1.0,1.0
"hrana",1.0,4.0
"hrana_gmo",1.0,1.0
"hrana_miladin",1.0,1.0
"hrana_uvozni",1.0,1.0
"hrana_zdrava",1.0,1.0
"hriscana",1.0,2.0
"hriscana_i",1.0,2.0
"hrt_jovan",1.0,3.0
"hrvata",1.0,2.0
"hrvata_hrvati",1.0,2.0
"hrvati",1.0,14.0
"hrvati_i",1.0,1.0
"hrvati_kradu",1.0,1.0
"hrvati_srbi",1.0,1.0
"hrvati_su",1.0,11.0
"hrvatska",1.0,2.0
"hrvatska_falsifikuje",1.0,1.0
"hrvatska_istorija",1.0,1.0
"hrvatske",1.0,3.0
"hrvatske_akcija",1.0,1.0
"hrvatske_balkan",1.0,1.0
"hrvatske_ljuban",1.0,1.0
"hrvatskog",1.0,1.0
"hrvatskog_naroda",1.0,1.0
"htela",1.0,1.0
"htela_da",1.0,1.0
"hteli",1.0,4.0
"hteli_da",1.0,2.0
"hteli_su",1.0,2.0
"hud_dokumentarne",1.0,1.0
"husein",1.0,8.0
"husein_seih",1.0,2.0
"husein_sheikh",1.0,2.0
"husein_uskoro",1.0,1.0
"husein_veliki",1.0,1.0
"husein_????",1.0,2.0
"i_aleksandar",1.0,3.0
"i_americka",1.0,1.0
"i_ameri?ka",1.0,1.0
"i_arkan",1.0,1.0
"i_balkanski",1.0,1.0
"i_bankari",1.0,1.0
"i_bitange",1.0,1.0
"i_boriti",1.0,1.0
"i_brak",1.0,1.0
"i_budale",1.0,1.0
"i_celovitost",1.0,1.0
"i_crkvi",1.0,1.0
"i_crnogorsku",1.0,1.0
"i_da",1.0,5.0
"i_dalje",1.0,1.0
"i_danas",1.0,1.0
"i_deretic",1.0,4.0
"i_diktator",1.0,1.0
"i_disciplina",1.0,1.0
"i_doga?aje",1.0,1.0
"i_dos",1.0,1.0
"i_dostojanstva",1.0,1.0
"i_države",1.0,1.0
"i_džungla",1.0,1.0
"i_epska",1.0,3.0
"i_evropska",1.0,1.0
"i_evropu",1.0,1.0
"i_falsifikata",1.0,1.0
"i_falsifikuju",1.0,1.0
"i_giska",1.0,2.0
"i_giška",1.0,1.0
"i_gorama",1.0,1.0
"i_hiljade",1.0,2.0
"i_ho?e",1.0,1.0
"i_hrabri",1.0,1.0
"i_imaju",1.0,1.0
"i_imamo",1.0,1.0
"i_iskrene",1.0,1.0
"i_ispiranju",1.0,1.0
"i_isporu?ivanje",1.0,1.0
"i_ispunjava",1.0,1.0
"i_izazivaju",1.0,1.0
"i_izdaje",1.0,2.0
"i_izdajnici",1.0,1.0
"i_izdajnik",1.0,1.0
"i_izru?ili",1.0,1.0
"i_jaka",1.0,1.0
"i_jankovi?",1.0,1.0
"i_jedini",1.0,1.0
"i_jermenija",1.0,2.0
"i_još",1.0,1.0
"i_kontrola",1.0,1.0
"i_korumpirani",1.0,1.0
"i_korupcije",1.0,1.0
"i_kostunica",1.0,1.0
"i_koštunica",1.0,1.0
"i_krezubi",1.0,1.0
"i_kriminalac",1.0,1.0
"i_kriminalaca",1.0,1.0
"i_kriminalci",1.0,1.0
"i_kulture",1.0,1.0
"i_lažna",1.0,1.0
"i_lažne",1.0,1.0
"i_lažno",1.0,1.0
"i_lažnu",1.0,1.0
"i_lecenje",1.0,1.0
"i_legija",1.0,1.0
"i_leukemije",1.0,1.0
"i_lingvistika",1.0,1.0
"i_mafija",1.0,1.0
"i_makedonija",1.0,1.0
"i_marionete",1.0,1.0
"i_ma?ari",1.0,1.0
"i_menadžera",1.0,1.0
"i_metohija",1.0,4.0
"i_metohije",1.0,6.0
"i_metohiju",1.0,2.0
"i_mi",1.0,1.0
"i_mnogi",1.0,1.0
"i_moderna",1.0,1.0
"i_moramo",1.0,1.0
"i_može",1.0,1.0
"i_muslimana",1.0,2.0
"i_nadu",1.0,1.0
"i_najteže",1.0,1.0
"i_najve?a",1.0,1.0
"i_najžeš?e",1.0,1.0
"i_nakon",1.0,1.0
"i_naprednjaci",1.0,1.0
"i_napušten",1.0,1.0
"i_narode",1.0,1.0
"i_naš",1.0,1.0
"i_ne",1.0,2.0
"i_nestabilnost",1.0,1.0
"i_ne?emo",1.0,1.0
"i_nikada",1.0,1.0
"i_nikoli?",1.0,1.0
"i_nismo",1.0,1.0
"i_njegova",1.0,2.0
"i_njemu",1.0,1.0
"i_njihova",1.0,1.0
"i_novi",1.0,1.0
"i_obmane",1.0,1.0
"i_obožavanja",1.0,1.0
"i_od",1.0,1.0
"i_oligarhija",1.0,1.0
"i_opozicija",1.0,1.0
"i_opoziciju",1.0,1.0
"i_ostali",1.0,1.0
"i_otadžbinu",1.0,1.0
"i_otcepili",1.0,1.0
"i_otima",1.0,1.0
"i_otrovan",1.0,1.0
"i_o?istiti",1.0,1.0
"i_plaši",1.0,1.0
"i_plja?ke",1.0,1.0
"i_ploditelj",1.0,1.0
"i_po",1.0,1.0
"i_pobedi",1.0,1.0
"i_podzemlje",1.0,1.0
"i_politi?ari",1.0,2.0
"i_polupismeni",1.0,1.0
"i_poluretardirani",1.0,4.0
"i_ponižen",1.0,1.0
"i_pošaljemo",1.0,1.0
"i_pravoslavlje",1.0,1.0
"i_pravoslavni",1.0,1.0
"i_pred",1.0,1.0
"i_pretnjama",1.0,1.0
"i_prevarama",1.0,1.0
"i_priznati",1.0,1.0
"i_probuditi",1.0,1.0
"i_protiv",1.0,1.0
"i_protivnike",1.0,1.0
"i_raspad",1.0,1.0
"i_rat",1.0,1.0
"i_ratovima",1.0,1.0
"i_rusenje",1.0,1.0
"i_rusija",1.0,1.0
"i_rusije",1.0,6.0
"i_saradnik",1.0,1.0
"i_se?anje",1.0,1.0
"i_slobodu",1.0,1.0
"i_slom",1.0,1.0
"i_smrti",1.0,1.0
"i_snaga",1.0,1.0
"i_so",1.0,3.0
"i_srbi",1.0,1.0
"i_srpsku",1.0,1.0
"i_stabilnost",1.0,1.0
"i_stradanje",1.0,1.0
"i_stranci",1.0,1.0
"i_stvara",1.0,1.0
"i_sudi?emo",1.0,1.0
"i_suludom",1.0,1.0
"i_svakog",1.0,1.0
"i_sve",1.0,3.0
"i_tajkuni",1.0,1.0
"i_tajna",1.0,1.0
"i_tajne",1.0,2.0
"i_to",1.0,2.0
"i_totalni",1.0,1.0
"i_tradiciju",1.0,1.0
"i_tre?i",1.0,1.0
"i_tu",1.0,1.0
"i_ubice",1.0,1.0
"i_ubijaju",1.0,2.0
"i_ubijeni",1.0,1.0
"i_ubijenih",1.0,2.0
"i_ubrzani",1.0,1.0
"i_ujedinjenje",1.0,1.0
"i_uklonimo",1.0,1.0
"i_uništava",1.0,1.0
"i_uništavanje",1.0,1.0
"i_uništenje",1.0,1.0
"i_upoznajem",1.0,1.0
"i_urbani",1.0,1.0
"i_ustanak",1.0,1.0
"i_ustaša",1.0,1.0
"i_uvu?e",1.0,1.0
"i_uzak",1.0,1.0
"i_veliki",1.0,1.0
"i_vera",1.0,1.0
"i_veru",1.0,1.0
"i_više",1.0,1.0
"i_vodi",1.0,1.0
"i_vrati",1.0,1.0
"i_vucic",1.0,3.0
"i_vu?i?",1.0,1.0
"i_vu?i?a",1.0,1.0
"i_vu?i?u",1.0,1.0
"i_za",1.0,1.0
"i_zataškava",1.0,1.0
"i_zato",1.0,5.0
"i_zbog",1.0,1.0
"i_zemunski",1.0,1.0
"i_zlo?ina",1.0,1.0
"i_zlo?ine",1.0,1.0
"i_?ekaju",1.0,1.0
"i_?in?i?a",1.0,1.0
"i_?ukanovi?",1.0,1.0
"i_žele",1.0,2.0
"i_želi",1.0,1.0
"iako",1.0,3.0
"iako_je",1.0,1.0
"iako_nema",1.0,1.0
"iako_nezadovoljstvo",1.0,1.0
"ide_u",1.0,1.0
"ideje",1.0,2.0
"ideje_nacizma",1.0,2.0
"ideju",1.0,1.0
"ideju_dokumentarne",1.0,1.0
"identitet",1.0,3.0
"identitet_bez",1.0,1.0
"identitet_istoriju",1.0,1.0
"identitet_nezavisnost",1.0,1.0
"identiteta",1.0,1.0
"identiteta_balkan",1.0,1.0
"ideologiju",1.0,2.0
"ideologiju_mog",1.0,1.0
"ideologiju_sns",1.0,1.0
"ides",1.0,9.0
"ides_pod",1.0,9.0
"ideš",1.0,1.0
"ideš_za",1.0,1.0
"idi_bolan",1.0,1.0
"idioti",1.0,1.0
"idioti_oko",1.0,1.0
"igic",1.0,8.0
"igic_balkan",1.0,1.0
"igic_dveri",1.0,1.0
"igic_goran",1.0,2.0
"igic_intervju",1.0,1.0
"igic_makedonija",1.0,1.0
"igic_najnovije",1.0,1.0
"igic_novinar",1.0,1.0
"igi?",1.0,2.0
"igi?_makedonija",1.0,1.0
"igi?_?????",1.0,1.0
"igor",1.0,9.0
"igor_rakocevic",1.0,7.0
"igor_rako?evi?",1.0,2.0
"igraj",1.0,1.0
"igraj_i",1.0,1.0
"igranju",1.0,1.0
"igranju_za",1.0,1.0
"igre",1.0,3.0
"igre_aleksandar",1.0,3.0
"ih_aleksandar",1.0,1.0
"ikada",1.0,1.0
"ikada_zato",1.0,1.0
"ili_u",1.0,1.0
"ili_ubice",1.0,1.0
"ili_?e",1.0,1.0
"ilic",1.0,71.0
"ilic_balkan",1.0,4.0
"ilic_bosko",1.0,4.0
"ilic_cacak",1.0,4.0
"ilic_intervju",1.0,7.0
"ilic_nagna",1.0,4.0
"ilic_najnovije",1.0,3.0
"ilic_nenad",1.0,6.0
"ilic_nova",1.0,4.0
"ilic_oktobar",1.0,4.0
"ilic_peti",1.0,4.0
"ilic_pravoslavlje",1.0,3.0
"ilic_sabac",1.0,3.0
"ilic_slobodan",1.0,4.0
"ilic_velja",1.0,8.0
"ilic_vera",1.0,3.0
"ilic_vucic",1.0,3.0
"ilic_vuk",1.0,3.0
"ilija",1.0,1.0
"ilija_mila",1.0,1.0
"ili?",1.0,21.0
"ili?_me?u",1.0,1.0
"ili?_ne?emo",1.0,1.0
"ili?_srpski",1.0,1.0
"ili?_u",1.0,2.0
"ili?_velimir",1.0,4.0
"ili?_vuk",1.0,1.0
"ili?_vu?i?",1.0,1.0
"ili?_????",1.0,4.0
"ili?_?????",1.0,3.0
"ili?_?????",1.0,3.0
"iluminati",1.0,2.0
"iluminati_milan",1.0,2.0
"ima_cilj",1.0,1.0
"ima_klimatsko",1.0,2.0
"ima_puno",1.0,1.0
"ima_srpske",1.0,1.0
"ima_zadatak",1.0,1.0
"imaju",1.0,8.0
"imaju_cilj",1.0,1.0
"imaju_izmišljenu",1.0,1.0
"imaju_plan",1.0,1.0
"imaju_pravo",1.0,1.0
"imaju_strah",1.0,1.0
"imaju_tajni",1.0,1.0
"imaju_za",1.0,1.0
"imaju_zajedni?ku",1.0,1.0
"imali",1.0,2.0
"imali_cilj",1.0,1.0
"imali_podršku",1.0,1.0
"imam",1.0,2.0
"imam_talenat",1.0,2.0
"imamo",1.0,1.0
"imamo_nerazrušivo",1.0,1.0
"imao",1.0,1.0
"imao_tajnovit",1.0,1.0
"imati",1.0,1.0
"imati_jaku",1.0,1.0
"imbecili",1.0,1.0
"imbecili_balkan",1.0,1.0
"imitira",1.0,1.0
"imitira_micko",1.0,1.0
"imperijalisti?kog",1.0,1.0
"imperijalisti?kog_sistema",1.0,1.0
"imran",1.0,10.0
"imran_n",1.0,2.0
"imran_nazar",1.0,5.0
"imran_n?zar",1.0,3.0
"in_s",1.0,1.0
"indeksovci",1.0,1.0
"indeksovci_?????",1.0,1.0
"indeksovo",1.0,1.0
"indeksovo_radio",1.0,1.0
"indexovci",1.0,1.0
"indexovci_indeksovo",1.0,1.0
"indijanapolis",1.0,1.0
"indijanapolis_intervju",1.0,1.0
"info",1.0,1054.0
"info_aleksandar",1.0,2.0
"info_andrej",1.0,2.0
"info_bosko",1.0,1.0
"info_branko",1.0,5.0
"info_dejan",1.0,7.0
"info_dosta",1.0,1.0
"info_dragan",1.0,9.0
"info_dragoslav",1.0,2.0
"info_dusan",1.0,1.0
"info_goran",1.0,3.0
"info_ides",1.0,9.0
"info_intervju",1.0,487.0
"info_jovan",1.0,4.0
"info_kristijan",1.0,1.0
"info_marko",1.0,2.0
"info_mila",1.0,6.0
"info_milan",1.0,6.0
"info_milijana",1.0,2.0
"info_milinko",1.0,1.0
"info_miroljub",1.0,1.0
"info_portal",1.0,2.0
"info_predrag",1.0,1.0
"info_srdja",1.0,1.0
"info_todor",1.0,7.0
"info_velimir",1.0,2.0
"info_velja",1.0,4.0
"info_vladari",1.0,1.0
"info_vladimir",1.0,1.0
"info_vojislav",1.0,1.0
"info_vucic",1.0,3.0
"info_zmago",1.0,3.0
"info_zvanicna",1.0,1.0
"info_zvonko",1.0,1.0
"info_??????",1.0,474.0
"infož",1.0,1.0
"infož_dejan",1.0,1.0
